"","x"
"188","RT @andraahss: you should be scared of me.... Or nah <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> https://t.co/njJQa13gcD"
"189","RT @MsKinkstress: Instead of pouring negative energy into Simone, put positive energy towards finding artists who can portray it your way. …"
"190","RT @_authentically_: I made some changes in my life, don't regret none of them so if you ain't heard from me then you're probably one of th…"
"191","I think the elevator a little bit risky and dangerous but thats a good way to save a lot of money  https://t.co/rNan6Lgs0J"
"192","RT @sharadmishra51: Clear that Media playing its  part to divide Indian in lines of Casteism &amp; relegion only for their breads... Shame #Med…"
"193","RT @wetherspoonuk: Will you all stop going on about this tiny spattering of snow. We've seen more white stuff snorted off our cisterns on a…"
"194","RT @nytimesbusiness: The pioneering dot-com entrepreneur turned a failed video game company into America Online. https://t.co/0epL1PIPHC"
"195","#WIN £50 to spend with us! Send us a 'silly selfies' photo of yourself, the kids or the family to enter! The sillier the better ;-)"
"196","RT @mjhsinclair: I have plenty of problems with Cameron, but the UK position on the migrant crisis is right and has required moral courage."
"197","RT @nakedae: Zone C is crazy guys. They are pushing each other like mad! If only I can take a gif of it"
"198","RT @sardesairajdeep: Just interviewed newsmaker of the moment Kanhaiya Kumar: Iview post 6 pm on @IndiaToday and @aajtak https://t.co/iXIpv…"
"199","Hi @retosdeportivos @CaryCaves Come by my YouTube Channel anytime, A range of content, regards, TCC https://t.co/DAE5QcDw2R  : -- )"
"200","A shocking injustice in the ""land of the free""... https://t.co/XBWoi9NxqK"
"201","RT @DilliDurAst: Arnab Goswami doesn't realise he's no longer the voice of the nation. Ravish Kumar has taken away that slot"
"202","#KenGi in Paris is one of the highlights of my week <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"203","RT @BBCSport: Watch Stephen Curry's 32-foot stunner in the @NBA Plays of the Week.

https://t.co/ix9QdIdkzn https://t.co/G78er5OyvP"
"204","@Mayourspeaks that's an unfortunate tweet bro! Have u ever taught about the centre of attraction with kids that are raped?"
"205","RT @TheStatistQuo: @TexasYankee001 @SoCalLynn Donald has - on just about every issue - a drunkard's grasp of every major policy issue. #Dam…"
"206","RT @TSwiftNZ: Taylor's dancer @JakeKodish uploaded this throwback of the dancers in the lift with Taylor on the 1989 Tour <ed><U+00A0><U+00BD><ed><U+00B2><U+0099> https://t.co/P2…"
"207","RT @JameboLib: Day two of the WRaPParound collaboration with Jamebo,  The Brunner and @GMCBeats @StPaulsBrunslib  @jcsplibraries https://t.…"
"208","RT @DebnamCarey: @MisElizaJane - my partner in crime and one hell of a leading lady. What a powerhouse.  #the100"
"209","if you have more month at the end of your money i can show you how to make $1000+ every friday! #idgt https://t.co/6EqXYdQ9nQ"
"210","Can Courteeners play Heaton Park again this summer, one of the best nights ever"
"211","RT @markgirl: This cape has gotten us through most of the winter &amp; we'll keep wearing it into the spring! https://t.co/UFMNALqMos https://t…"
"212","RT @seanhannity: .@larryelder: ""I thought that @realDonaldTrump withstood a lot of fire...[but] he came out pretty much unscathed."""
"213","@mariamsaitta I know it's been years since we've been in contact. Just had a crazy dream about you out of no where. Checking in with you."
